CAMIS,id,name,url,phone,latitude,longitude,review_count,price,rating,transactions,categories,address,city,state,zip_code
41183771,hughes-hubbard-and-reed-llp-new-york-2,"Hughes Hubbard & Reed, LLP",https://www.yelp.com/biz/hughes-hubbard-and-reed-llp-new-york-2?adjust_creative=LNwtLORYeEQK9yfH-rPGdQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LNwtLORYeEQK9yfH-rPGdQ,12128376000,40.70333,-74.01412,1,,5,,['legalservices'],1 Battery Park Plz,New York,NY,10004
41338317,ikea-restaurant-brooklyn,IKEA Restaurant,https://www.yelp.com/biz/ikea-restaurant-brooklyn?adjust_creative=LNwtLORYeEQK9yfH-rPGdQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LNwtLORYeEQK9yfH-rPGdQ,18888884532,40.67148522,-74.01123818,165,1,3,,"['scandinavian', 'hotdogs']",1 Beard St,Brooklyn,NY,11231
40365043,shell-lanes-brooklyn,Shell Lanes,https://www.yelp.com/biz/shell-lanes-brooklyn?adjust_creative=LNwtLORYeEQK9yfH-rPGdQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LNwtLORYeEQK9yfH-rPGdQ,17183366700,40.588973,-73.973625,76,,3,,['bowling'],1 Bouck Ct,Brooklyn,NY,11223
50059683,filicori-zecchini-new-york-11,Filicori Zecchini,https://www.yelp.com/biz/filicori-zecchini-new-york-11?adjust_creative=LNwtLORYeEQK9yfH-rPGdQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LNwtLORYeEQK9yfH-rPGdQ,,40.7049,-74.01416,20,2,4,,"['coffee', 'bakeries']",1 Broadway,New York,NY,10004
50033195,gong-cha-new-york-12,Gong Cha,https://www.yelp.com/biz/gong-cha-new-york-12?adjust_creative=LNwtLORYeEQK9yfH-rPGdQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LNwtLORYeEQK9yfH-rPGdQ,12123437019,40.71386129,-73.9973915,64,1,3.5,,['bubbletea'],1 Catherine St,New York,NY,10038
40374136,tonys-pier-restaurant-bronx,Tony's Pier Restaurant,https://www.yelp.com/biz/tonys-pier-restaurant-bronx?adjust_creative=LNwtLORYeEQK9yfH-rPGdQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LNwtLORYeEQK9yfH-rPGdQ,17188851424,40.8376007,-73.7830734,136,2,3.5,,['seafood'],1 City Island Ave,Bronx,NY,10464
50016637,turtle-cove-golf-center-pelham-bay-park,Turtle Cove Golf Center,https://www.yelp.com/biz/turtle-cove-golf-center-pelham-bay-park?adjust_creative=LNwtLORYeEQK9yfH-rPGdQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LNwtLORYeEQK9yfH-rPGdQ,17188851129,40.86321206,-73.80770353,26,,3.5,,"['golf', 'mini_golf', 'battingcages']",1 City Island Rd,Pelham Bay Park,NY,10464
41703928,sel-rrose-new-york,Sel Rrose,https://www.yelp.com/biz/sel-rrose-new-york?adjust_creative=LNwtLORYeEQK9yfH-rPGdQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LNwtLORYeEQK9yfH-rPGdQ,12122262510,40.7200099,-73.9937874,331,2,4,['restaurant_reservation'],"['cocktailbars', 'seafood', 'french']",1 Delancey St,New York,NY,10002
41641642,tasty-hand-pulled-noodles-new-york,Tasty Hand-Pulled Noodles,https://www.yelp.com/biz/tasty-hand-pulled-noodles-new-york?adjust_creative=LNwtLORYeEQK9yfH-rPGdQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LNwtLORYeEQK9yfH-rPGdQ,12127911817,40.7142,-73.99787,1261,1,4,"['delivery', 'pickup']","['chinese', 'noodles']",1 Doyers St,New York,NY,10013
41148766,tocqueville-restaurant-new-york-2,Tocqueville Restaurant,https://www.yelp.com/biz/tocqueville-restaurant-new-york-2?adjust_creative=LNwtLORYeEQK9yfH-rPGdQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LNwtLORYeEQK9yfH-rPGdQ,12126471515,40.73662675,-73.99268242,313,4,4,,"['newamerican', 'french']",1 E 15th St,New York,NY,10003
